"","municipio_res","casos","qtd_obitos","porcentagem_de_casos","porcentagem_de_obitos"
"1","ANGRA DOS REIS",2183,79,100,3.61887311039853
"2","APERIBE",81,1,100,1.23456790123457
"3","ARARUAMA",336,35,100,10.4166666666667
"4","AREAL",94,1,100,1.06382978723404
"5","ARMACAO DOS BUZIOS",162,5,100,3.08641975308642
"6","ARRAIAL DO CABO",77,4,100,5.19480519480519
"7","BARRA DO PIRAI",378,25,100,6.61375661375661
"8","BARRA MANSA",464,32,100,6.89655172413793
"9","BELFORD ROXO",1418,172,100,12.12976022567
"10","BOM JARDIM",49,3,100,6.12244897959184
"11","BOM JESUS DO ITABAPOANA",123,2,100,1.6260162601626
"12","CABO FRIO",859,38,100,4.42374854481956
"13","CACHOEIRAS DE MACACU",328,18,100,5.48780487804878
"14","CAMBUCI",53,1,100,1.88679245283019
"15","CAMPOS DOS GOYTACAZES",1792,91,100,5.078125
"16","CANTAGALO",22,1,100,4.54545454545455
"17","CARAPEBUS",133,2,100,1.50375939849624
"18","CARDOSO MOREIRA",118,0,100,0
"19","CARMO",63,2,100,3.17460317460317
"20","CASIMIRO DE ABREU",333,10,100,3.003003003003
"21","COMENDADOR LEVY GASPARIAN",51,0,100,0
"22","CONCEICAO DE MACABU",171,1,100,0.584795321637427
"23","CORDEIRO",30,1,100,3.33333333333333
"24","DUAS BARRAS",7,0,100,0
"25","DUQUE DE CAXIAS",3089,411,100,13.3052767886047
"26","ENGENHEIRO PAULO DE FRONTIN",53,2,100,3.77358490566038
"27","GUAPIMIRIM",768,32,100,4.16666666666667
"28","IGUABA GRANDE",192,20,100,10.4166666666667
"29","ITABORAI",2452,122,100,4.97553017944535
"30","ITAGUAI",1352,76,100,5.62130177514793
"31","ITALVA",148,3,100,2.02702702702703
"32","ITAOCARA",97,5,100,5.15463917525773
"33","ITAPERUNA",803,1,100,0.12453300124533
"34","ITATIAIA",36,0,100,0
"35","JAPERI",172,18,100,10.4651162790698
"36","LAJE DO MURIAE",122,0,100,0
"37","MACAE",2261,74,100,3.27288810260946
"38","MACUCO",14,0,100,0
"39","MAGE",1619,132,100,8.15318097591106
"40","MANGARATIBA",365,23,100,6.3013698630137
"41","MARICA",1256,56,100,4.45859872611465
"42","MENDES",57,2,100,3.50877192982456
"43","MESQUITA",738,101,100,13.6856368563686
"44","MIGUEL PEREIRA",88,6,100,6.81818181818182
"45","MIRACEMA",123,0,100,0
"46","NATIVIDADE",164,1,100,0.609756097560976
"47","NILOPOLIS",689,76,100,11.0304789550073
"48","NITEROI",6346,184,100,2.89946422943587
"49","NOVA FRIBURGO",454,34,100,7.48898678414097
"50","NOVA IGUACU",3254,337,100,10.3564843269822
"51","PARACAMBI",354,22,100,6.21468926553672
"52","PARAIBA DO SUL",305,14,100,4.59016393442623
"53","PARATY",255,11,100,4.31372549019608
"54","PATY DO ALFERES",47,1,100,2.12765957446809
"55","PETROPOLIS",812,92,100,11.3300492610837
"56","PINHEIRAL",122,1,100,0.819672131147541
"57","PIRAI",185,6,100,3.24324324324324
"58","PORCIUNCULA",93,2,100,2.1505376344086
"59","PORTO REAL",51,1,100,1.96078431372549
"60","QUATIS",26,0,100,0
"61","QUEIMADOS",1627,27,100,1.65949600491703
"62","QUISSAMA",198,4,100,2.02020202020202
"63","RESENDE",396,23,100,5.80808080808081
"64","RIO BONITO",457,19,100,4.15754923413567
"65","RIO CLARO",127,1,100,0.78740157480315
"66","RIO DAS FLORES",9,1,100,11.1111111111111
"67","RIO DAS OSTRAS",779,26,100,3.33761232349166
"68","RIO DE JANEIRO",56060,6387,100,11.3931501962183
"69","SANTA MARIA MADALENA",23,0,100,0
"70","SANTO ANTONIO DE PADUA",356,3,100,0.842696629213483
"71","SAO FIDELIS",144,0,100,0
"72","SAO FRANCISCO DE ITABAPOANA",206,11,100,5.33980582524272
"73","SAO GONCALO",5075,421,100,8.29556650246305
"74","SAO JOAO DA BARRA",271,7,100,2.5830258302583
"75","SAO JOAO DE MERITI",1646,208,100,12.636695018226
"76","SAO JOSE DE UBA",89,0,100,0
"77","SAO JOSE DO VALE DO RIO PRETO",180,11,100,6.11111111111111
"78","SAO PEDRO DA ALDEIA",399,8,100,2.00501253132832
"79","SAO SEBASTIAO DO ALTO",10,1,100,10
"80","SAPUCAIA",153,14,100,9.15032679738562
"81","SAQUAREMA",228,19,100,8.33333333333333
"82","SEROPEDICA",431,23,100,5.33642691415313
"83","SILVA JARDIM",109,4,100,3.6697247706422
"84","SUMIDOURO",28,2,100,7.14285714285714
"85","TANGUA",355,29,100,8.16901408450704
"86","TERESOPOLIS",983,45,100,4.57782299084435
"87","TRAJANO DE MORAES",36,0,100,0
"88","TRES RIOS",442,17,100,3.84615384615385
"89","VALENCA",182,7,100,3.84615384615385
"90","VARRE-SAI",49,0,100,0
"91","VASSOURAS",281,11,100,3.91459074733096
"92","VOLTA REDONDA",1682,56,100,3.32936979785969
